slug,name,sku,price_cents,compare_at_price_cents,initial_stock,image_url,category_slug,description,delivery_information,return_policy,warranty_info,whats_in_the_box,package_length_mm,package_width_mm,package_height_mm,gross_weight_g,currency
spar-full-cream-milk-2l,Spar full cream milk 2L,GRO-MILK-2L,3299,3666,25,https://loremflickr.com/800/800/milk%2Ccarton?lock=87619,groceries,"Spar full cream milk 2L (SKU GRO-MILK-2L) is listed in our groceries range on AvoToday. See specifications on this page and compare variants before you add to cart.

Order online for delivery or pickup in Namibia — pricing is shown in NAD including the variant on this page. Images are representative; labels, batch codes, or bundle contents may vary by supplier shipment.","We deliver across Namibia where service is available. After you add Spar full cream milk 2L to your cart, choose home delivery or a pickup point at checkout — fees and estimated windows depend on your address and the courier lane selected.

Packed for transit in a carton of approximately 100 × 100 × 245 mm (shipping weight approx. 2.15 kg).

You will receive order updates when your order is confirmed, packed, and handed to the courier. Inspect the outer box on arrival and note any visible damage on delivery where possible.","Returns and exchanges for Spar full cream milk 2L follow the retailer policy and applicable consumer protection rules in Namibia.

To request help, open your order in AvoToday and contact support with your order number, SKU, and a short description of the issue. Photos of the product and packaging speed up resolution.

Unopened items in resaleable condition with all accessories may qualify within the stated return window where applicable.",Warranty terms depend on the manufacturer and product type. Keep your AvoToday order confirmation as proof of purchase. Contact support from your order if you need help with a warranty or quality concern.,"Contents of this shipment

Product: Spar full cream milk 2L
SKU: GRO-MILK-2L
Variant: Standard (GRO-MILK-2L)

Outer retail / shipping carton (L × W × H):
100 × 100 × 245 mm (shipping weight approx. 2.15 kg)

Included in the box:
• 1 × Spar full cream milk 2L — the item described on this product page

Packaging may differ slightly from photos (seasonal sleeves, language on labels). Accessories shown in marketing images are included only when listed above. Retain the carton until you have inspected the product.",100,100,245,2150,NAD
brown-bread-loaf-700g,Brown bread loaf 700g,GRO-BRD-700,1999,,25,https://loremflickr.com/800/800/bread%2Cloaf?lock=91701,groceries,"Brown bread loaf 700g (SKU GRO-BRD-700) is listed in our groceries range on AvoToday. See specifications on this page and compare variants before you add to cart.

Order online for delivery or pickup in Namibia — pricing is shown in NAD including the variant on this page. Images are representative; labels, batch codes, or bundle contents may vary by supplier shipment.","We deliver across Namibia where service is available. After you add Brown bread loaf 700g to your cart, choose home delivery or a pickup point at checkout — fees and estimated windows depend on your address and the courier lane selected.

Packed for transit in a carton of approximately 280 × 140 × 110 mm (shipping weight approx. 780 g).

You will receive order updates when your order is confirmed, packed, and handed to the courier. Inspect the outer box on arrival and note any visible damage on delivery where possible.","Returns and exchanges for Brown bread loaf 700g follow the retailer policy and applicable consumer protection rules in Namibia.

To request help, open your order in AvoToday and contact support with your order number, SKU, and a short description of the issue. Photos of the product and packaging speed up resolution.

Unopened items in resaleable condition with all accessories may qualify within the stated return window where applicable.",Warranty terms depend on the manufacturer and product type. Keep your AvoToday order confirmation as proof of purchase. Contact support from your order if you need help with a warranty or quality concern.,"Contents of this shipment

Product: Brown bread loaf 700g
SKU: GRO-BRD-700
Variant: Standard (GRO-BRD-700)

Outer retail / shipping carton (L × W × H):
280 × 140 × 110 mm (shipping weight approx. 780 g)

Included in the box:
• 1 × Brown bread loaf 700g — the item described on this product page

Packaging may differ slightly from photos (seasonal sleeves, language on labels). Accessories shown in marketing images are included only when listed above. Retain the carton until you have inspected the product.",280,140,110,780,NAD
white-sugar-2-5kg,White sugar 2.5kg,GRO-SUG-25,4499,,25,https://loremflickr.com/800/800/sugar%2Cbag?lock=16932,groceries,"White sugar 2.5kg (SKU GRO-SUG-25) is listed in our groceries range on AvoToday. See specifications on this page and compare variants before you add to cart.

Order online for delivery or pickup in Namibia — pricing is shown in NAD including the variant on this page. Images are representative; labels, batch codes, or bundle contents may vary by supplier shipment.","We deliver across Namibia where service is available. After you add White sugar 2.5kg to your cart, choose home delivery or a pickup point at checkout — fees and estimated windows depend on your address and the courier lane selected.

Packed for transit in a carton of approximately 180 × 120 × 280 mm (shipping weight approx. 2.55 kg).

You will receive order updates when your order is confirmed, packed, and handed to the courier. Inspect the outer box on arrival and note any visible damage on delivery where possible.","Returns and exchanges for White sugar 2.5kg follow the retailer policy and applicable consumer protection rules in Namibia.

To request help, open your order in AvoToday and contact support with your order number, SKU, and a short description of the issue. Photos of the product and packaging speed up resolution.

Unopened items in resaleable condition with all accessories may qualify within the stated return window where applicable.",Warranty terms depend on the manufacturer and product type. Keep your AvoToday order confirmation as proof of purchase. Contact support from your order if you need help with a warranty or quality concern.,"Contents of this shipment

Product: White sugar 2.5kg
SKU: GRO-SUG-25
Variant: Standard (GRO-SUG-25)

Outer retail / shipping carton (L × W × H):
180 × 120 × 280 mm (shipping weight approx. 2.55 kg)

Included in the box:
• 1 × White sugar 2.5kg — the item described on this product page

Packaging may differ slightly from photos (seasonal sleeves, language on labels). Accessories shown in marketing images are included only when listed above. Retain the carton until you have inspected the product.",180,120,280,2550,NAD
sunflower-oil-2l,Sunflower oil 2L,GRO-OIL-2L,5999,,25,https://loremflickr.com/800/800/cooking%2Coil%2Cbottle?lock=27054,groceries,"Sunflower oil 2L (SKU GRO-OIL-2L) is listed in our groceries range on AvoToday. See specifications on this page and compare variants before you add to cart.

Order online for delivery or pickup in Namibia — pricing is shown in NAD including the variant on this page. Images are representative; labels, batch codes, or bundle contents may vary by supplier shipment.","We deliver across Namibia where service is available. After you add Sunflower oil 2L to your cart, choose home delivery or a pickup point at checkout — fees and estimated windows depend on your address and the courier lane selected.

Packed for transit in a carton of approximately 95 × 95 × 310 mm (shipping weight approx. 1.92 kg).

You will receive order updates when your order is confirmed, packed, and handed to the courier. Inspect the outer box on arrival and note any visible damage on delivery where possible.","Returns and exchanges for Sunflower oil 2L follow the retailer policy and applicable consumer protection rules in Namibia.

To request help, open your order in AvoToday and contact support with your order number, SKU, and a short description of the issue. Photos of the product and packaging speed up resolution.

Unopened items in resaleable condition with all accessories may qualify within the stated return window where applicable.",Warranty terms depend on the manufacturer and product type. Keep your AvoToday order confirmation as proof of purchase. Contact support from your order if you need help with a warranty or quality concern.,"Contents of this shipment

Product: Sunflower oil 2L
SKU: GRO-OIL-2L
Variant: Standard (GRO-OIL-2L)

Outer retail / shipping carton (L × W × H):
95 × 95 × 310 mm (shipping weight approx. 1.92 kg)

Included in the box:
• 1 × Sunflower oil 2L — the item described on this product page

Packaging may differ slightly from photos (seasonal sleeves, language on labels). Accessories shown in marketing images are included only when listed above. Retain the carton until you have inspected the product.",95,95,310,1920,NAD
maize-meal-5kg,Maize meal 5kg,GRO-MAIZE-5,8999,9782,25,https://loremflickr.com/800/800/flour%2Cbag?lock=53599,groceries,"Maize meal 5kg (SKU GRO-MAIZE-5) is listed in our groceries range on AvoToday. See specifications on this page and compare variants before you add to cart.

Order online for delivery or pickup in Namibia — pricing is shown in NAD including the variant on this page. Images are representative; labels, batch codes, or bundle contents may vary by supplier shipment.","We deliver across Namibia where service is available. After you add Maize meal 5kg to your cart, choose home delivery or a pickup point at checkout — fees and estimated windows depend on your address and the courier lane selected.

This item ships in a carton of approximately 250 × 150 × 380 mm (shipping weight approx. 5.10 kg). Bulky or heavy parcels may require additional handling time and cannot always be left unattended — please ensure someone can receive the delivery or choose pickup.

You will receive order updates when your order is confirmed, packed, and handed to the courier. Inspect the outer box on arrival and note any visible damage on delivery where possible.","Returns and exchanges for Maize meal 5kg follow the retailer policy and applicable consumer protection rules in Namibia.

To request help, open your order in AvoToday and contact support with your order number, SKU, and a short description of the issue. Photos of the product and packaging speed up resolution.

Unopened items in resaleable condition with all accessories may qualify within the stated return window where applicable.",Warranty terms depend on the manufacturer and product type. Keep your AvoToday order confirmation as proof of purchase. Contact support from your order if you need help with a warranty or quality concern.,"Contents of this shipment

Product: Maize meal 5kg
SKU: GRO-MAIZE-5
Variant: Standard (GRO-MAIZE-5)

Outer retail / shipping carton (L × W × H):
250 × 150 × 380 mm (shipping weight approx. 5.10 kg)

Included in the box:
• 1 × Maize meal 5kg — the item described on this product page

Packaging may differ slightly from photos (seasonal sleeves, language on labels). Accessories shown in marketing images are included only when listed above. Retain the carton until you have inspected the product.",250,150,380,5100,NAD
rice-long-grain-2kg,Rice long grain 2kg,GRO-RICE-2,5499,,25,https://loremflickr.com/800/800/rice%2Cbag?lock=79271,groceries,"Rice long grain 2kg (SKU GRO-RICE-2) is listed in our groceries range on AvoToday. See specifications on this page and compare variants before you add to cart.

Order online for delivery or pickup in Namibia — pricing is shown in NAD including the variant on this page. Images are representative; labels, batch codes, or bundle contents may vary by supplier shipment.","We deliver across Namibia where service is available. After you add Rice long grain 2kg to your cart, choose home delivery or a pickup point at checkout — fees and estimated windows depend on your address and the courier lane selected.

Packed for transit in a carton of approximately 120 × 80 × 280 mm (shipping weight approx. 2.05 kg).

You will receive order updates when your order is confirmed, packed, and handed to the courier. Inspect the outer box on arrival and note any visible damage on delivery where possible.","Returns and exchanges for Rice long grain 2kg follow the retailer policy and applicable consumer protection rules in Namibia.

To request help, open your order in AvoToday and contact support with your order number, SKU, and a short description of the issue. Photos of the product and packaging speed up resolution.

Unopened items in resaleable condition with all accessories may qualify within the stated return window where applicable.",Warranty terms depend on the manufacturer and product type. Keep your AvoToday order confirmation as proof of purchase. Contact support from your order if you need help with a warranty or quality concern.,"Contents of this shipment

Product: Rice long grain 2kg
SKU: GRO-RICE-2
Variant: Standard (GRO-RICE-2)

Outer retail / shipping carton (L × W × H):
120 × 80 × 280 mm (shipping weight approx. 2.05 kg)

Included in the box:
• 1 × Rice long grain 2kg — the item described on this product page

Packaging may differ slightly from photos (seasonal sleeves, language on labels). Accessories shown in marketing images are included only when listed above. Retain the carton until you have inspected the product.",120,80,280,2050,NAD
eggs-free-range-18-pack,Eggs free range 18 pack,GRO-EGG-18,6999,7954,25,https://loremflickr.com/800/800/eggs%2Ccarton?lock=99496,groceries,"Eggs free range 18 pack (SKU GRO-EGG-18) is listed in our groceries range on AvoToday. See specifications on this page and compare variants before you add to cart.

Order online for delivery or pickup in Namibia — pricing is shown in NAD including the variant on this page. Images are representative; labels, batch codes, or bundle contents may vary by supplier shipment.","We deliver across Namibia where service is available. After you add Eggs free range 18 pack to your cart, choose home delivery or a pickup point at checkout — fees and estimated windows depend on your address and the courier lane selected.

Packed for transit in a carton of approximately 300 × 200 × 75 mm (shipping weight approx. 1.12 kg).

You will receive order updates when your order is confirmed, packed, and handed to the courier. Inspect the outer box on arrival and note any visible damage on delivery where possible.","Returns and exchanges for Eggs free range 18 pack follow the retailer policy and applicable consumer protection rules in Namibia.

To request help, open your order in AvoToday and contact support with your order number, SKU, and a short description of the issue. Photos of the product and packaging speed up resolution.

Unopened items in resaleable condition with all accessories may qualify within the stated return window where applicable.",Warranty terms depend on the manufacturer and product type. Keep your AvoToday order confirmation as proof of purchase. Contact support from your order if you need help with a warranty or quality concern.,"Contents of this shipment

Product: Eggs free range 18 pack
SKU: GRO-EGG-18
Variant: Standard (GRO-EGG-18)

Outer retail / shipping carton (L × W × H):
300 × 200 × 75 mm (shipping weight approx. 1.12 kg)

Included in the box:
• 1 × Eggs free range 18 pack — the item described on this product page

Packaging may differ slightly from photos (seasonal sleeves, language on labels). Accessories shown in marketing images are included only when listed above. Retain the carton until you have inspected the product.",300,200,75,1120,NAD
butter-salted-500g,Butter salted 500g,GRO-BTR-500,4599,,25,https://loremflickr.com/800/800/butter%2Cpack?lock=77375,groceries,"Butter salted 500g (SKU GRO-BTR-500) is listed in our groceries range on AvoToday. See specifications on this page and compare variants before you add to cart.

Order online for delivery or pickup in Namibia — pricing is shown in NAD including the variant on this page. Images are representative; labels, batch codes, or bundle contents may vary by supplier shipment.","We deliver across Namibia where service is available. After you add Butter salted 500g to your cart, choose home delivery or a pickup point at checkout — fees and estimated windows depend on your address and the courier lane selected.

Packed for transit in a carton of approximately 125 × 85 × 55 mm (shipping weight approx. 540 g).

You will receive order updates when your order is confirmed, packed, and handed to the courier. Inspect the outer box on arrival and note any visible damage on delivery where possible.","Returns and exchanges for Butter salted 500g follow the retailer policy and applicable consumer protection rules in Namibia.

To request help, open your order in AvoToday and contact support with your order number, SKU, and a short description of the issue. Photos of the product and packaging speed up resolution.

Unopened items in resaleable condition with all accessories may qualify within the stated return window where applicable.",Warranty terms depend on the manufacturer and product type. Keep your AvoToday order confirmation as proof of purchase. Contact support from your order if you need help with a warranty or quality concern.,"Contents of this shipment

Product: Butter salted 500g
SKU: GRO-BTR-500
Variant: Standard (GRO-BTR-500)

Outer retail / shipping carton (L × W × H):
125 × 85 × 55 mm (shipping weight approx. 540 g)

Included in the box:
• 1 × Butter salted 500g — the item described on this product page

Packaging may differ slightly from photos (seasonal sleeves, language on labels). Accessories shown in marketing images are included only when listed above. Retain the carton until you have inspected the product.",125,85,55,540,NAD
instant-oats-1kg,Instant oats 1kg,GRO-OATS-1,3999,,25,https://loremflickr.com/800/800/oats%2Ccereal?lock=23550,groceries,"Instant oats 1kg (SKU GRO-OATS-1) is listed in our groceries range on AvoToday. See specifications on this page and compare variants before you add to cart.

Order online for delivery or pickup in Namibia — pricing is shown in NAD including the variant on this page. Images are representative; labels, batch codes, or bundle contents may vary by supplier shipment.","We deliver across Namibia where service is available. After you add Instant oats 1kg to your cart, choose home delivery or a pickup point at checkout — fees and estimated windows depend on your address and the courier lane selected.

Packed for transit in a carton of approximately 180 × 120 × 240 mm (shipping weight approx. 1.08 kg).

You will receive order updates when your order is confirmed, packed, and handed to the courier. Inspect the outer box on arrival and note any visible damage on delivery where possible.","Returns and exchanges for Instant oats 1kg follow the retailer policy and applicable consumer protection rules in Namibia.

To request help, open your order in AvoToday and contact support with your order number, SKU, and a short description of the issue. Photos of the product and packaging speed up resolution.

Unopened items in resaleable condition with all accessories may qualify within the stated return window where applicable.",Warranty terms depend on the manufacturer and product type. Keep your AvoToday order confirmation as proof of purchase. Contact support from your order if you need help with a warranty or quality concern.,"Contents of this shipment

Product: Instant oats 1kg
SKU: GRO-OATS-1
Variant: Standard (GRO-OATS-1)

Outer retail / shipping carton (L × W × H):
180 × 120 × 240 mm (shipping weight approx. 1.08 kg)

Included in the box:
• 1 × Instant oats 1kg — the item described on this product page

Packaging may differ slightly from photos (seasonal sleeves, language on labels). Accessories shown in marketing images are included only when listed above. Retain the carton until you have inspected the product.",180,120,240,1080,NAD
pasta-penne-500g,Pasta penne 500g,GRO-PASTA-500,2499,,25,https://loremflickr.com/800/800/pasta%2Cpack?lock=49534,groceries,"Pasta penne 500g (SKU GRO-PASTA-500) is listed in our groceries range on AvoToday. See specifications on this page and compare variants before you add to cart.

Order online for delivery or pickup in Namibia — pricing is shown in NAD including the variant on this page. Images are representative; labels, batch codes, or bundle contents may vary by supplier shipment.","We deliver across Namibia where service is available. After you add Pasta penne 500g to your cart, choose home delivery or a pickup point at checkout — fees and estimated windows depend on your address and the courier lane selected.

Packed for transit in a carton of approximately 250 × 80 × 300 mm (shipping weight approx. 530 g).

You will receive order updates when your order is confirmed, packed, and handed to the courier. Inspect the outer box on arrival and note any visible damage on delivery where possible.","Returns and exchanges for Pasta penne 500g follow the retailer policy and applicable consumer protection rules in Namibia.

To request help, open your order in AvoToday and contact support with your order number, SKU, and a short description of the issue. Photos of the product and packaging speed up resolution.

Unopened items in resaleable condition with all accessories may qualify within the stated return window where applicable.",Warranty terms depend on the manufacturer and product type. Keep your AvoToday order confirmation as proof of purchase. Contact support from your order if you need help with a warranty or quality concern.,"Contents of this shipment

Product: Pasta penne 500g
SKU: GRO-PASTA-500
Variant: Standard (GRO-PASTA-500)

Outer retail / shipping carton (L × W × H):
250 × 80 × 300 mm (shipping weight approx. 530 g)

Included in the box:
• 1 × Pasta penne 500g — the item described on this product page

Packaging may differ slightly from photos (seasonal sleeves, language on labels). Accessories shown in marketing images are included only when listed above. Retain the carton until you have inspected the product.",250,80,300,530,NAD
